x,y,z
2.524489795918367108e+01,2.524489795918367108e+01,8.139956237183248788e+00
5.353061224489795222e+01,5.353061224489795222e+01,7.831491430822683952e+00
9.393877551020406713e+01,9.393877551020406713e+01,8.839574525825938167e+00
6.767346938775509102e+01,6.767346938775509102e+01,9.861344169029818474e+00
4.544897959183673208e+01,4.544897959183673208e+01,9.325957525836310325e+00
2.928571428571428470e+01,2.928571428571428470e+01,7.870708576831890291e+00
7.373469387755100968e+01,7.373469387755100968e+01,8.406645642500512494e+00
9.081632653061223692e+00,9.081632653061223692e+00,5.547121630299159278e+00
9.595918367346938282e+01,9.595918367346938282e+01,8.862634715967550036e+00
8.989795918367346417e+01,8.989795918367346417e+01,9.753333155284877876e+00
3.020408163265305923e+00,3.020408163265305923e+00,3.902237547143806218e+00
5.757142857142856940e+01,5.757142857142856940e+01,8.019252624883014491e+00
2.120408163265305745e+01,2.120408163265305745e+01,6.951388226277275706e+00
4.948979591836734215e+01,4.948979591836734215e+01,8.807912477910122107e+00
7.061224489795917769e+00,7.061224489795917769e+00,5.455304363758687103e+00
5.151020408163265074e+01,5.151020408163265074e+01,8.258025519283375360e+00
2.726530612244897611e+01,2.726530612244897611e+01,8.184683189713792828e+00
7.777551020408162685e+01,7.777551020408162685e+01,8.706306133666020131e+00
9.797959183673468431e+01,9.797959183673468431e+01,9.265390114056302195e+00
8.181632653061222982e+01,8.181632653061222982e+01,9.994119277886307273e+00
5.555102040816326081e+01,5.555102040816326081e+01,7.728373809213251455e+00
1.514285714285714235e+01,1.514285714285714235e+01,5.144537120296873489e+00
1.716326530612244738e+01,1.716326530612244738e+01,5.478492593026640378e+00
3.332653061224489477e+01,3.332653061224489477e+01,6.959559073089484293e+00
6.969387755102040671e+01,6.969387755102040671e+01,9.370509951379641933e+00
1.918367346938775242e+01,1.918367346938775242e+01,6.134338186630319711e+00
1.312244897959183554e+01,1.312244897959183554e+01,5.150708489277838531e+00
8.585714285714284699e+01,8.585714285714284699e+01,1.057314193924335477e+01
3.534693877551020336e+01,3.534693877551020336e+01,6.827455554364561863e+00
5.040816326530611846e+00,5.040816326530611846e+00,4.924224001840878273e+00
